municipality,urban,renda_dom_pc,population,agua_canalizada,sem_banheiro,esgoto_rede,esgoto_fossa,lixo_coleta,mort_1to4yrs,mort_less1yr,mort_total
280660,0.4577391183383162,67.53437328454037,10669.99999914,0.4280934636977677,0.1749969124212215,0.004243727133481542,0.5170870635185113,0.4248073695114225,1,5,71
280670,1.212254620088406,188.8889514477189,64647.00000089,1.047714204310843,0.19640533149602513,0.29390156214521496,0.7419693580672296,0.8139180883164342,5,26,327
280680,0.25186293932158604,56.70949765552605,9259.999999740001,0.4441682152398257,0.2077419155663712,0.008410038539647804,0.5039252959567216,0.27552161418919124,0,4,49
280690,0.4875015430915849,56.752634752565704,2531.99999996,0.4901090692799963,0.05595942360386712,0.01566746356474987,0.4839429373789788,0.4489333781947885,1,0,10
280700,0.2108279018568908,52.35417501518174,3447.00000028,0.2244853082541041,0.05166869660089258,0.1254685490820628,0.3835106172197944,0.24469685029482302,1,1,10
280710,0.4951104028787451,121.53766172389862,36956.76300796,0.562330973092127,0.4011663395358188,0.4791733139128021,0.5062902307202978,0.5109808474056203,4,25,280
280720,0.2395016400569097,72.48352451630257,6913.99999987,0.36261172901707484,0.20040422676375916,0,0.49967736322660977,0.23032807574613456,0,5,31
280730,0.24008444855729186,60.95264428267329,2638.00000005,0.571386513284767,0.07622404378045619,0,0.5086147194576232,0.42968996291006195,0,1,15
280740,0.7543278536260035,140.32646370685654,43172.00000012,0.7421749595019229,0.35980300865952963,0.5120572212348148,0.4920332133823778,0.7544818838985096,3,15,239
280750,0.18115503532294533,45.58520733981177,12840.00000036,0.20903871716154684,0.37726120050808354,0,0.31247725261646,0.20566620280133197,1,11,76
280760,0.6560758161524987,123.32427262785635,19213.9999998,0.5137077206356774,0.2840146459554465,0.008945368043268122,0.9728188867777209,0.6549725512633912,2,10,79
350010,0.953967344151279,393.83872276942174,33497.00000024,0.9937122587867928,0.03323358154066495,0.9327443714821743,0.09463323017155544,0.9322718333400827,3,6,268
350020,0.44468939404916286,116.00970927767327,3684.00000031,0.5105234257405694,0.00749485691701177,0.4273215063538404,0.08548834265123269,0.437008156049901,0,0,18
350030,0.9058755953401794,367.29076782191964,28194.99999974,1.0289179243279156,0.014305284759105379,0.9102374996038086,0.1144713402573298,0.9055776685193782,0,6,205
350040,0.4309673269026529,218.66742788136335,7131.00000029,0.4887033245698482,0.017277770365227547,0.41082249977940716,0.0663023254591494,0.4275298977917399,1,0,52
350050,1.0976767651525765,534.177908757558,16190.00000004,1.0839800999200497,0.011444682186166219,0.9692114221841432,0.11659135970851219,1.0147852562031752,0,1,113
350055,0.40826796795600784,187.06918910228922,5224.00000001,0.506656635764027,0.019697171717696273,0.33525089730611407,0.1888111482103074,0.38695333328986276,0,2,39
