municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
431630,256,189,25,1,0,2,62
431640,1076,867,37,1,0,5,364
431642,190,152,0,1,1,0,18
431643,193,152,4,0,1,0,27
431645,465,387,28,1,1,2,84
431647,138,105,10,1,0,0,19
431650,319,289,5,1,0,0,39
431660,539,412,1,1,0,0,130
431670,372,341,0,1,0,3,74
431673,141,70,37,1,0,0,10
431675,249,173,3,1,1,1,39
431680,3416,2777,78,1,0,10,906
431690,3989,2946,170,1,0,25,1962
431695,251,199,18,1,1,0,37
431697,215,156,12,0,0,1,18
431700,435,327,22,1,0,3,69
431710,2890,1053,289,1,0,9,732
431720,1598,1437,3,1,1,17,532
431725,107,87,7,1,0,0,18
431730,1646,978,316,1,0,1,264
431740,1371,1124,0,1,1,6,397
431750,1721,1278,131,1,1,9,565
431755,135,84,20,1,0,0,16
431760,1255,939,87,1,0,4,313
431770,485,316,104,1,1,0,91
431775,173,122,34,0,0,0,16
431780,531,403,53,1,1,3,88
431790,462,418,3,1,1,3,101
431795,167,146,5,0,0,0,12
431800,1826,1113,503,1,0,9,483
431805,143,103,0,1,1,0,17
431810,763,556,7,1,1,1,161
431820,603,291,4,1,1,4,156
431830,1813,996,208,1,1,7,509
431840,631,419,71,1,0,5,181
431842,198,133,8,1,0,0,29
431843,147,101,21,0,0,1,23
431844,108,93,5,1,0,1,19
431845,180,130,0,1,1,1,16
431846,145,93,14,0,0,0,20
431848,183,138,16,1,1,0,28
431849,171,136,7,1,0,0,26
431850,915,801,0,0,0,1,206
431860,282,228,12,1,0,2,57
431861,135,110,6,1,0,0,18
431862,226,179,16,1,0,0,19
431870,4774,3628,230,1,0,46,1562
431880,1672,1533,7,1,1,5,381
431890,1049,872,3,1,0,3,291
431900,645,566,10,1,0,5,143
431910,293,237,8,1,1,1,34
431912,144,119,6,1,0,0,21
431915,394,268,29,1,0,0,61
431920,302,136,120,1,0,0,35
431930,206,177,14,1,0,3,59
431935,170,144,0,1,0,0,23
431936,204,180,4,1,0,0,18
431937,138,120,2,0,0,0,29
431940,594,526,0,1,1,1,133
431950,759,589,22,1,0,4,180
431960,843,692,32,0,1,2,210
431970,230,180,17,1,0,0,32
431971,106,74,15,1,0,0,17
431973,168,121,9,1,1,1,13
431975,121,97,8,1,0,2,20
431980,340,174,87,1,1,2,74
431990,2452,1651,415,1,0,12,433
432000,2849,1846,414,1,0,19,921
432010,655,395,154,1,0,1,122
432020,468,294,66,0,1,4,85
432023,163,117,0,1,1,0,28
432026,249,165,56,1,0,0,50
432030,277,208,27,0,0,0,34
432032,160,115,8,1,0,1,27
432035,233,156,11,0,0,1,57
432040,569,488,0,1,0,3,91
432045,122,90,3,1,1,1,23
432050,331,242,8,1,0,0,56
432055,227,206,0,1,0,0,46
432057,140,118,3,1,0,0,14
432060,199,174,3,1,0,1,25
432065,126,105,8,1,1,0,24
432067,418,319,50,1,0,0,76
432070,472,379,44,1,1,1,124
432080,970,433,384,0,0,3,239
432085,261,168,20,1,1,1,29
432090,669,405,140,1,1,5,145
432100,343,290,3,1,1,0,67
432110,536,343,71,1,1,2,143
432120,1660,1030,298,1,0,0,448
432130,786,503,131,1,0,3,225
432132,188,115,29,1,1,0,25
432135,282,194,48,0,1,0,48
432140,498,360,0,1,0,2,96
432143,425,316,57,1,0,1,73
432145,762,541,13,1,0,2,187
432146,159,125,0,1,0,0,17
432147,191,126,10,1,1,1,57
432149,143,128,0,1,0,0,25
432150,1175,714,330,1,0,2,276
432160,1714,1337,82,1,0,15,392
432162,135,94,3,0,0,0,21
432163,141,116,4,1,0,0,15
432166,253,173,55,1,0,0,60
432170,931,678,23,0,0,4,160
432180,638,488,4,1,1,3,208
432183,185,163,4,0,0,0,17
432185,217,118,55,1,0,0,23
432190,754,474,130,1,0,1,204
432195,275,205,54,1,0,1,34
432200,1570,1040,14,1,0,6,187
432210,216,174,0,1,1,0,44
432215,248,179,31,1,1,0,28
432218,147,124,7,0,0,0,10
432220,819,611,0,1,0,3,154
432225,273,211,0,1,0,0,19
432230,251,189,21,1,0,0,79
432232,298,173,46,0,0,0,23
432234,129,118,3,1,0,0,18
432235,129,69,22,1,0,0,13
432237,177,113,5,1,1,0,18
432240,3802,1580,443,1,0,23,921
432250,1836,1529,11,0,1,12,524
432252,219,117,32,1,0,1,35
432253,335,306,0,1,0,0,98
432254,204,166,2,1,0,0,25
432255,200,160,4,1,0,0,11
432260,1466,1078,46,1,0,9,490
432270,828,643,51,1,1,3,199
432280,673,494,64,1,0,3,179
432285,89,66,0,1,1,0,17
432290,211,163,7,1,1,0,34
432300,3097,2689,38,1,1,37,1774
432310,229,189,0,0,0,0,38
432320,216,142,36,0,0,1,21
432330,167,117,15,0,0,1,24
432335,154,113,15,1,1,0,13
432340,168,132,5,1,0,0,40
432345,222,178,15,0,0,0,21
432350,177,118,25,1,0,0,14
432360,124,90,13,1,0,0,4
432370,179,118,18,1,0,0,21
432375,201,106,73,0,0,0,27
432377,165,6,1,1,1,0,24
432380,1140,656,130,0,0,2,73
500020,969,477,435,0,0,3,62
500025,358,270,38,0,0,0,18
500060,1477,955,230,1,0,14,262
500070,824,426,216,1,0,6,167
500080,508,388,29,0,0,0,52
500085,518,353,99,1,0,1,65
500090,638,281,168,0,0,5,62
500100,785,683,24,1,0,4,175
500110,2126,1090,812,1,0,15,329
500124,714,253,457,1,1,3,50
500150,386,252,82,1,1,2,38
500190,808,493,235,1,1,2,108
500200,574,466,62,0,0,2,83
500210,848,693,36,1,1,3,146
