employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
1371,1124,65,0,1,1,1
296,176,7,0,0,0,1
635,490,98,0,0,0,0
112,84,26,0,0,0,0
673,494,50,0,1,0,1
219,119,69,0,0,0,0
1152,736,210,1,1,1,1
761,210,472,0,0,1,0
924,706,97,0,0,0,0
198,123,13,0,1,0,0
4064,2296,242,0,1,1,1
682,610,28,0,1,1,1
472,258,25,0,0,0,1
442,284,44,0,0,1,1
162,76,3,0,0,1,1
258,232,20,0,0,1,0
1540,928,92,0,1,0,0
1067,613,123,0,1,0,0
287,134,51,0,0,0,0
4488,2120,1762,0,1,0,0
352,259,28,1,0,0,0
285,168,37,0,0,0,0
184,124,20,0,1,0,0
313,245,29,0,1,0,1
2170,1247,413,1,1,0,0
296,189,15,0,1,0,0
282,253,6,0,0,1,1
894,873,18,1,1,1,0
260,232,15,0,0,0,0
229,169,30,0,1,0,1
329,276,16,0,1,0,0
294,233,19,0,1,0,1
238,127,72,0,0,0,0
434,331,20,0,0,1,1
160,102,21,0,0,1,1
1561,860,214,0,1,1,0
1246,636,131,0,0,0,0
1622,543,58,0,1,0,0
230,178,18,0,0,0,0
376,58,32,0,0,0,0
365,201,37,0,0,0,0
314,250,17,0,1,1,1
914,0,73,0,0,0,1
522,222,10,0,1,0,0
326,211,13,0,1,1,1
848,609,57,0,0,1,1
200,179,11,0,0,0,0
973,92,33,0,1,1,1
347,235,37,0,0,0,0
208,174,10,1,1,1,1
718,532,48,0,0,1,1
485,316,28,0,0,1,1
206,177,15,0,1,0,1
642,246,64,0,0,1,1
1465,943,46,1,1,0,0
885,815,61,0,1,1,1
678,360,98,1,0,0,0
541,251,28,0,0,0,0
202,141,33,0,0,0,0
508,253,36,0,0,0,0
398,252,39,0,0,1,1
307,186,61,0,0,0,0
341,215,31,0,0,1,1
571,271,43,1,0,0,0
1060,741,278,1,0,1,1
229,157,42,0,0,0,0
218,130,21,0,1,0,1
2375,1364,272,0,1,1,1
596,492,65,0,0,0,1
281,177,86,0,0,0,0
207,153,36,0,0,1,1
755,398,43,0,1,0,1
338,0,21,0,1,1,1
551,0,22,0,0,1,0
804,623,33,0,1,0,1
311,188,27,0,0,1,1
350,292,22,1,1,1,1
656,447,54,0,0,0,0
134,105,24,0,0,0,0
181,9,14,0,0,1,1
524,229,49,1,0,0,0
299,170,55,0,0,0,0
952,665,173,1,0,0,1
1923,1048,102,0,1,1,1
342,1,29,0,1,0,0
3889,2200,1104,1,1,0,0
282,195,65,0,0,0,0
555,260,83,0,0,0,1
455,0,23,0,0,0,1
567,458,39,1,0,0,0
221,176,36,0,1,0,1
5077,0,127,1,1,0,0
450,242,128,0,0,1,1
874,620,125,0,1,0,0
279,212,33,1,1,1,1
1763,1482,167,0,1,1,1
425,333,60,0,0,0,0
232,193,30,0,0,1,1
358,179,143,0,0,1,1
294,225,65,0,0,0,1
997,712,101,0,1,0,0
570,228,27,1,1,0,1
344,208,7,0,0,0,1
293,221,62,0,0,0,0
912,761,21,0,0,0,0
266,183,13,0,1,1,0
762,487,21,0,1,0,1
327,0,9,0,0,0,0
1637,1174,85,0,1,1,1
575,421,69,1,0,0,0
