employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
2368,1900,182,1,1,1,0
576,233,86,1,0,0,1
132,75,30,0,0,0,1
135,87,19,0,0,0,0
1601,1132,42,1,1,0,0
744,546,26,0,1,0,0
291,223,65,0,1,0,1
222,178,20,0,0,0,0
169,95,21,0,1,1,1
256,230,18,0,0,1,1
196,176,17,0,1,0,0
359,188,23,0,1,0,1
2471,1171,135,0,1,1,1
369,250,77,0,0,1,0
451,345,31,0,1,1,1
564,0,33,0,1,0,1
208,134,18,0,0,1,0
1582,1032,73,1,1,0,1
635,535,35,1,1,0,0
239,216,20,0,0,1,1
282,0,33,1,1,0,1
462,308,46,0,1,0,1
1976,1609,130,0,1,0,1
336,258,27,0,0,0,1
413,265,90,0,0,0,0
2639,0,204,0,1,0,0
326,214,48,0,0,0,0
407,0,47,0,0,1,1
887,695,0,0,1,0,0
1309,915,30,1,1,0,0
360,184,18,0,0,0,0
3718,1520,301,0,1,0,0
485,312,32,0,0,0,0
1261,859,69,0,1,0,0
1347,736,169,1,1,0,1
764,372,32,0,1,1,1
135,112,15,0,0,0,1
248,175,8,0,0,0,0
937,394,142,0,0,0,0
2911,1719,129,1,1,0,1
220,143,37,0,0,0,1
150,0,5,0,0,1,1
411,229,56,0,0,0,0
1148,713,64,1,1,0,1
1272,1,38,1,1,0,1
2817,1990,219,1,1,1,1
537,341,114,0,0,1,1
1727,1501,47,1,1,1,0
1251,0,5,0,1,0,1
659,337,58,1,0,0,0
1334,423,132,0,1,1,1
2379,0,177,0,1,0,0
1699,1151,114,0,1,0,0
179,138,16,0,1,0,0
42987,32013,1148,1,1,0,1
1450,822,84,1,1,1,1
271,225,41,0,0,0,0
